Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Australia,A1,27/08/06,New Zealand Knights,Newcastle Jets,0,0
Australia,A1,01/09/06,Newcastle Jets,Brisbane Roar,2,3
Australia,A1,02/09/06,Melbourne Victory,Sydney FC,3,2
Australia,A1,02/09/06,New Zealand Knights,Adelaide United,1,0
Australia,A1,03/09/06,Perth Glory,Central Coast Mariners,2,0
Australia,A1,08/09/06,Adelaide United,Newcastle Jets,5,1
Australia,A1,09/09/06,Central Coast Mariners,Brisbane Roar,0,0
Australia,A1,10/09/06,Perth Glory,Sydney FC,1,1
Australia,A1,10/09/06,New Zealand Knights,Melbourne Victory,0,3
Australia,A1,15/09/06,Brisbane Roar,New Zealand Knights,5,0
Australia,A1,16/09/06,Adelaide United,Perth Glory,3,0
Australia,A1,17/09/06,Melbourne Victory,Central Coast Mariners,1,0
Australia,A1,17/09/06,Sydney FC,Newcastle Jets,2,2
Australia,A1,21/09/06,New Zealand Knights,Sydney FC,0,1
Australia,A1,22/09/06,Brisbane Roar,Adelaide United,0,0
Australia,A1,23/09/06,Central Coast Mariners,Newcastle Jets,1,1
Australia,A1,24/09/06,Perth Glory,Melbourne Victory,1,2
Australia,A1,28/09/06,New Zealand Knights,Central Coast Mariners,0,1
Australia,A1,29/09/06,Newcastle Jets,Perth Glory,0,3
Australia,A1,01/10/06,Melbourne Victory,Brisbane Roar,4,1
Australia,A1,03/10/06,Adelaide United,Sydney FC,1,4
Australia,A1,06/10/06,Perth Glory,New Zealand Knights,1,0
Australia,A1,06/10/06,Adelaide United,Central Coast Mariners,3,1
Australia,A1,08/10/06,Newcastle Jets,Melbourne Victory,0,2
Australia,A1,08/10/06,Sydney FC,Brisbane Roar,1,1
Australia,A1,13/10/06,Central Coast Mariners,Sydney FC,3,1
Australia,A1,14/10/06,Newcastle Jets,New Zealand Knights,3,0
Australia,A1,15/10/06,Perth Glory,Brisbane Roar,1,2
Australia,A1,15/10/06,Melbourne Victory,Adelaide United,0,1
Australia,A1,20/10/06,Central Coast Mariners,Perth Glory,2,1
Australia,A1,21/10/06,Sydney FC,Melbourne Victory,1,2
Australia,A1,22/10/06,Adelaide United,New Zealand Knights,4,2
Australia,A1,22/10/06,Brisbane Roar,Newcastle Jets,0,1
Australia,A1,27/10/06,Newcastle Jets,Adelaide United,2,1
