Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
SaudiArabia,SPL,05/02/01,Al-Ittihad FC,Al Wehda,4,0
SaudiArabia,SPL,07/02/01,Al Ansar,Al-Hilal,0,2
SaudiArabia,SPL,07/02/01,Al-Ettifaq,Al Nasr Riyadh,0,2
SaudiArabia,SPL,07/02/01,Sdoos,Al Riyadh,0,3
SaudiArabia,SPL,08/02/01,Al Ahli SC,Al Shabab,3,2
SaudiArabia,SPL,08/02/01,Al Najma,Al-Ettifaq,0,0
SaudiArabia,SPL,08/02/01,Al Nasr Riyadh,Al Qadisiya,3,0
SaudiArabia,SPL,12/02/01,Al Shabab,Al-Ettifaq,1,1
SaudiArabia,SPL,12/02/01,Al-Hilal,Al-Ittihad FC,1,0
SaudiArabia,SPL,13/02/01,Al Nasr Riyadh,Al Ansar,2,1
SaudiArabia,SPL,15/02/01,Al Qadisiya,Al Ahli SC,0,1
SaudiArabia,SPL,15/02/01,Al Riyadh,Al Wehda,3,0
SaudiArabia,SPL,15/02/01,Al-Ittihad FC,Al-Ettifaq,2,1
SaudiArabia,SPL,16/02/01,Sdoos,Al Nasr Riyadh,1,3
SaudiArabia,SPL,17/02/01,Al Ansar,Al Shabab,3,2
SaudiArabia,SPL,17/02/01,Al-Hilal,Al Najma,3,0
SaudiArabia,SPL,19/02/01,Al Ahli SC,Sdoos,6,0
SaudiArabia,SPL,19/02/01,Al Riyadh,Al-Ittihad FC,0,2
SaudiArabia,SPL,20/02/01,Al-Hilal,Al Wehda,4,0
SaudiArabia,SPL,23/02/01,Al Ahli SC,Al-Ittihad FC,1,1
SaudiArabia,SPL,23/02/01,Al Najma,Al Shabab,1,2
SaudiArabia,SPL,23/02/01,Al Wehda,Al Nasr Riyadh,1,2
SaudiArabia,SPL,23/02/01,Al-Ettifaq,Al-Hilal,0,1
SaudiArabia,SPL,24/02/01,Al Qadisiya,Al Ansar,1,1
SaudiArabia,SPL,27/02/01,Al Riyadh,Al Nasr Riyadh,0,1
SaudiArabia,SPL,27/02/01,Al Wehda,Al Ahli SC,1,5
SaudiArabia,SPL,27/02/01,Al-Ittihad FC,Al-Hilal,1,2
SaudiArabia,SPL,28/02/01,Al Ansar,Sdoos,1,2
SaudiArabia,SPL,28/02/01,Al Najma,Al Qadisiya,0,1
SaudiArabia,SPL,03/03/01,Al Qadisiya,Al-Ittihad FC,2,3
SaudiArabia,SPL,03/03/01,Al Riyadh,Al-Hilal,1,6
SaudiArabia,SPL,20/03/01,Al-Hilal,Sdoos,1,0
SaudiArabia,SPL,22/03/01,Al Ahli SC,Al Riyadh,5,1
SaudiArabia,SPL,22/03/01,Al Ansar,Al Wehda,1,1
SaudiArabia,SPL,22/03/01,Al Nasr Riyadh,Al-Ittihad FC,2,1
SaudiArabia,SPL,23/03/01,Al Najma,Sdoos,1,0
SaudiArabia,SPL,23/03/01,Al Qadisiya,Al-Ettifaq,2,2
SaudiArabia,SPL,23/03/01,Al Shabab,Al-Hilal,1,2
SaudiArabia,SPL,26/03/01,Al Ahli SC,Al Nasr Riyadh,4,2
SaudiArabia,SPL,26/03/01,Al Riyadh,Al Ansar,3,0
SaudiArabia,SPL,27/03/01,Al Wehda,Al Najma,1,2
SaudiArabia,SPL,27/03/01,Al-Hilal,Al Qadisiya,2,2
SaudiArabia,SPL,27/03/01,Al-Ittihad FC,Al Shabab,0,0
SaudiArabia,SPL,27/03/01,Sdoos,Al-Ettifaq,3,2
SaudiArabia,SPL,05/04/01,Al Najma,Al Riyadh,2,1
SaudiArabia,SPL,05/04/01,Al Shabab,Al Qadisiya,3,1
SaudiArabia,SPL,05/04/01,Al-Ettifaq,Al Wehda,3,2
SaudiArabia,SPL,06/04/01,Al-Ittihad FC,Al Ahli SC,1,3
SaudiArabia,SPL,11/04/01,Al Ansar,Al Nasr Riyadh,3,2
SaudiArabia,SPL,11/04/01,Sdoos,Al-Hilal,1,2
SaudiArabia,SPL,18/04/01,Al Ahli SC,Al-Ittihad FC,0,0
SaudiArabia,SPL,19/04/01,Al-Hilal,Al Nasr Riyadh,0,1
SaudiArabia,SPL,25/04/01,Al-Ittihad FC ,Al Ahli SC,4,2
SaudiArabia,SPL,26/04/01,Al Nasr Riyadh ,Al-Hilal,0,0
SaudiArabia,SPL,09/05/01,Al-Ittihad FC ,Al Nasr Riyadh,1,0
SaudiArabia,SPL,11/10/01,Al Wehda,Al-Hilal,1,2
SaudiArabia,SPL,11/10/01,Al-Ettifaq,Al Riyadh,2,1
SaudiArabia,SPL,11/10/01,Al-Shoalah,Al-Ittihad FC,2,1
