Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Israel,I0,01/01/00,B. Jerusalem,M. Ironi Ashdod,3,1
Israel,I0,01/01/00,H. Ironi Rishon,Netanya,1,0
Israel,I0,01/01/00,H. Kfar Saba,M. Haifa,1,1
Israel,I0,01/01/00,H. Petah Tikva,M. Petach Tikva,0,1
Israel,I0,01/01/00,H. Tel Aviv,Hapoel Jerusalem,3,0
Israel,I0,01/01/00,Yehuda,M. Herzliya,3,1
Israel,I0,03/01/00,H. Haifa,M. Tel Aviv,2,4
Israel,I0,07/01/00,Netanya,H. Petah Tikva,1,2
Israel,I0,08/01/00,H. Haifa,H. Kfar Saba,3,0
Israel,I0,08/01/00,M. Herzliya,H. Tel Aviv,0,5
Israel,I0,08/01/00,M. Ironi Ashdod,H. Ironi Rishon,4,2
Israel,I0,08/01/00,M. Petach Tikva,Yehuda,1,1
Israel,I0,08/01/00,M. Tel Aviv,B. Jerusalem,1,3
Israel,I0,10/01/00,Hapoel Jerusalem,M. Haifa,1,3
Israel,I0,14/01/00,H. Kfar Saba,Hapoel Jerusalem,1,0
Israel,I0,15/01/00,B. Jerusalem,H. Haifa,3,3
Israel,I0,15/01/00,H. Ironi Rishon,M. Tel Aviv,0,0
Israel,I0,15/01/00,H. Petah Tikva,M. Ironi Ashdod,4,2
Israel,I0,15/01/00,M. Haifa,M. Herzliya,3,0
Israel,I0,15/01/00,Yehuda,Netanya,1,1
Israel,I0,17/01/00,H. Tel Aviv,M. Petach Tikva,2,1
Israel,I0,21/01/00,M. Herzliya,Hapoel Jerusalem,1,2
Israel,I0,22/01/00,B. Jerusalem,H. Kfar Saba,1,1
Israel,I0,22/01/00,H. Haifa,H. Ironi Rishon,2,0
Israel,I0,22/01/00,M. Ironi Ashdod,Yehuda,1,0
Israel,I0,22/01/00,M. Tel Aviv,H. Petah Tikva,0,1
Israel,I0,22/01/00,Netanya,H. Tel Aviv,2,5
Israel,I0,24/01/00,M. Petach Tikva,M. Haifa,1,2
Israel,I0,28/01/00,H. Kfar Saba,M. Herzliya,0,0
